School/Location,September 2021,September 2021
School/Location,Students,Staff
Alma Preschool,0.0,0.0
Castro Valley Elementary School,1.0,0.0
Chabot Elementary School,0.0,0.0
Independent Elementary School,0.0,0.0
Jensen Ranch Elementary School,1.0,0.0
Marshall Elementary School,0.0,0.0
Palomares Elementary School,0.0,0.0
Proctor Elementary School,0.0,0.0
Stanton Elementary School,0.0,0.0
Vannoy Elementary School,0.0,0.0
Canyon Middle School,0.0,0.0
Creekside Middle School,0.0,0.0
Castro Valley High School,0.0,0.0
Redwood High School / Roy A. Johnson,0.0,0.0
Castro Valley Adult & Career Education,0.0,0.0
"District Departments (i.e. District Office, MOT, CN, etc.)",0.0,0.0
DISTRICT TOTAL:,2.0,0.0
,,
"Updated September 1, 2021",,
