School/Location,August 2022,August 2022,July 2022,July 2022
School/Location,Students,Staff,Students,Staff
Alma Preschool,0,0.0,0,0.0
Castro Valley Elementary School,2,0.0,0,1.0
Chabot Elementary School,1,0.0,0,0.0
Independent Elementary School,6,3.0,0,0.0
Jensen Ranch Elementary School,3,0.0,0,0.0
Marshall Elementary School,8,0.0,0,0.0
Palomares Elementary School,0,0.0,0,0.0
Proctor Elementary School,0,1.0,0,1.0
Stanton Elementary School,5,0.0,0,0.0
Vannoy Elementary School,8,1.0,0,0.0
Canyon Middle School,5,2.0,0,1.0
Creekside Middle School,8,2.0,0,0.0
Castro Valley High School,25,5.0,2,2.0
Redwood High School / Roy A. Johnson,0,0.0,0,0.0
Castro Valley Adult & Career Education,0,0.0,0,2.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,0.0,-,1.0
DISTRICT TOTAL:,71,14.0,2,8.0
"Updated August 18, 2022",,,,
,,,,
