School/Location,September 2022,September 2022,August 2022,August 2022,July 2022,July 2022
School/Location,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,0,0.0,3,0.0,0,1.0
Chabot Elementary School,5,0.0,12,0.0,0,0.0
Independent Elementary School,1,0.0,11,3.0,0,0.0
Jensen Ranch Elementary School,0,0.0,4,0.0,0,0.0
Marshall Elementary School,1,0.0,10,1.0,0,0.0
Palomares Elementary School,0,0.0,1,0.0,0,0.0
Proctor Elementary School,3,1.0,6,1.0,0,1.0
Stanton Elementary School,0,0.0,13,2.0,0,0.0
Vannoy Elementary School,0,0.0,14,1.0,0,0.0
Canyon Middle School,0,0.0,14,3.0,0,1.0
Creekside Middle School,1,0.0,20,2.0,0,0.0
Castro Valley High School,18,1.0,39,6.0,2,2.0
Redwood High School / Roy A. Johnson,1,0.0,0,1.0,0,0.0
Castro Valley Adult & Career Education,0,0.0,1,0.0,0,2.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,0.0,-,1.0,-,1.0
DISTRICT TOTAL:,30,2.0,148,21.0,2,8.0
"Updated September 7, 2022",,,,,,
,,,,,,
